 ,Label,X,Y
1,A.tif,140.000,165.000
2,A.tif,7560.833,161.500
3,A.tif,3683.833,162.833
4,A.tif,18434.166,163.500
5,A.tif,18221.500,162.833
6,A.tif,17343.834,165.500
7,A.tif,16344.167,164.833
8,A.tif,18827.500,164.167
