 ,Label,X,Y
1,ACT.tif,166.000,156.000
2,ACT.tif,202.833,193.500
3,ACT.tif,23300.166,150.167
4,ACT.tif,23263.500,192.167
5,G.tif,142.000,152.000
6,G.tif,179.500,114.500
7,G.tif,23275.500,152.500
8,G.tif,23238.500,111.500
9,C.tif,142.000,152.000
10,C.tif,180.500,114.500
11,C.tif,729.500,147.500
12,C.tif,2879.500,113.500
13,C.tif,4702.500,113.500
14,C.tif,23275.500,153.500
15,C.tif,23241.500,115.500
16,T.tif,144.000,151.000
17,T.tif,180.500,114.500
18,T.tif,8207.500,111.500
19,T.tif,9885.500,112.500
20,T.tif,11490.500,112.500
21,T.tif,11782.500,113.500
22,T.tif,23275.500,152.500
23,T.tif,23240.500,114.500
24,A.tif,142.833,150.833
25,A.tif,179.500,112.167
26,A.tif,23273.500,154.167
27,A.tif,23236.834,114.833
